Sector,avg_last_10yrs
"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",5293.11
"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2236.02
TELECOMMUNICATIONS,2140.42
COMPUTER SOFTWARE & HARDWARE,1883.8
AUTOMOBILE INDUSTRY,1518.12
TRADING,1392.91
DRUGS & PHARMACEUTICALS,1375.4
CHEMICALS (OTHER THAN FERTILIZERS),1235.04
POWER,1038.29
CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,975.25
METALLURGICAL INDUSTRIES,972.95
HOTEL & TOURISM,971.06
MISCELLANEOUS INDUSTRIES,794.43
FOOD PROCESSING INDUSTRIES,694.4
PETROLEUM & NATURAL GAS,629.57
INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),621.6
ELECTRICAL EQUIPMENTS,610.02
NON-CONVENTIONAL ENERGY,517.06
CEMENT AND GYPSUM PRODUCTS,430.62
INDUSTRIAL MACHINERY,425.61
HOSPITAL & DIAGNOSTIC CENTRES,418.25
CONSULTANCY SERVICES,306.09
MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,299.11
SEA TRANSPORT,247.6
MINING,220.65
RUBBER GOODS,218.48
"TEXTILES (INCLUDING DYED,PRINTED)",213.63
FERMENTATION INDUSTRIES,211.46
AGRICULTURE SERVICES,185.21
PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),170.92
PORTS,148.99
MEDICAL AND SURGICAL APPLIANCES,148.52
EDUCATION,136.91
PAPER AND PULP (INCLUDING PAPER PRODUCTS),116.5
ELECTRONICS,114.98
"SOAPS, COSMETICS & TOILET PREPARATIONS",110.96
RETAIL TRADING,98.86
AIR TRANSPORT (INCLUDING AIR FREIGHT),93.3
"DIAMOND,GOLD ORNAMENTS",78.74
RAILWAY RELATED COMPONENTS,73.58
MACHINE TOOLS,71.61
VEGETABLE OILS AND VANASPATI,65.82
CERAMICS,59.89
PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),59.84
FERTILIZERS,50.5
GLASS,44.84
EARTH-MOVING MACHINERY,32.35
"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",27.86
AGRICULTURAL MACHINERY,26.56
SCIENTIFIC INSTRUMENTS,24.41
BOILERS AND STEAM GENERATING PLANTS,19.13
SUGAR,18.47
TIMBER PRODUCTS,15.71
"LEATHER,LEATHER GOODS AND PICKERS",13.99
GLUE AND GELATIN,12.22
DYE-STUFFS,8.56
TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),8.29
INDUSTRIAL INSTRUMENTS,6.7
PHOTOGRAPHIC RAW FILM AND PAPER,5.75
COAL PRODUCTION,1.73
"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",0.8
DEFENCE INDUSTRIES,0.51
COIR,0.3
